"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","29","should fetch a single user","Desktop Chromium","Fri Feb 07 17:19:14 UTC 2025","passed","Fri Feb 07 17:19:14 UTC 2025","Reqres API Tests","sampleAPI.spec.ts","",""
"","103","should fetch a list of users","Desktop Chromium","Fri Feb 07 17:19:14 UTC 2025","passed","Fri Feb 07 17:19:14 UTC 2025","Reqres API Tests","sampleAPI.spec.ts","",""
"","3163","should fetch a delayed response","Desktop Chromium","Fri Feb 07 17:19:15 UTC 2025","passed","Fri Feb 07 17:19:19 UTC 2025","Reqres API Tests","sampleAPI.spec.ts","",""
"","159","should fail to login a user","Desktop Chromium","Fri Feb 07 17:19:15 UTC 2025","passed","Fri Feb 07 17:19:15 UTC 2025","Reqres API Tests","sampleAPI.spec.ts","",""
"","165","should create a new user","Desktop Chromium","Fri Feb 07 17:19:14 UTC 2025","passed","Fri Feb 07 17:19:14 UTC 2025","Reqres API Tests","sampleAPI.spec.ts","",""
"","23","should fetch a list of resources","Desktop Chromium","Fri Feb 07 17:19:15 UTC 2025","passed","Fri Feb 07 17:19:15 UTC 2025","Reqres API Tests","sampleAPI.spec.ts","",""
"","176","should return 404 for a non-existent user","Desktop Chromium","Fri Feb 07 17:19:14 UTC 2025","passed","Fri Feb 07 17:19:14 UTC 2025","Reqres API Tests","sampleAPI.spec.ts","",""
"","159","should delete a user","Desktop Chromium","Fri Feb 07 17:19:14 UTC 2025","passed","Fri Feb 07 17:19:15 UTC 2025","Reqres API Tests","sampleAPI.spec.ts","",""
"","163","should update a user with PATCH","Desktop Chromium","Fri Feb 07 17:19:14 UTC 2025","passed","Fri Feb 07 17:19:14 UTC 2025","Reqres API Tests","sampleAPI.spec.ts","",""
"","166","should login a user successfully","Desktop Chromium","Fri Feb 07 17:19:15 UTC 2025","passed","Fri Feb 07 17:19:15 UTC 2025","Reqres API Tests","sampleAPI.spec.ts","",""
"","159","should fail to register a user","Desktop Chromium","Fri Feb 07 17:19:15 UTC 2025","passed","Fri Feb 07 17:19:15 UTC 2025","Reqres API Tests","sampleAPI.spec.ts","",""
"","161","should register a user successfully","Desktop Chromium","Fri Feb 07 17:19:15 UTC 2025","passed","Fri Feb 07 17:19:15 UTC 2025","Reqres API Tests","sampleAPI.spec.ts","",""
"","171","should return 404 for a non-existent resource","Desktop Chromium","Fri Feb 07 17:19:15 UTC 2025","passed","Fri Feb 07 17:19:15 UTC 2025","Reqres API Tests","sampleAPI.spec.ts","",""
"","20","should fetch a single resource","Desktop Chromium","Fri Feb 07 17:19:15 UTC 2025","passed","Fri Feb 07 17:19:15 UTC 2025","Reqres API Tests","sampleAPI.spec.ts","",""
"","169","should update a user","Desktop Chromium","Fri Feb 07 17:19:14 UTC 2025","passed","Fri Feb 07 17:19:14 UTC 2025","Reqres API Tests","sampleAPI.spec.ts","",""
"","425","Submit Webform and Validate","Desktop Chromium","Fri Feb 07 17:19:19 UTC 2025","passed","Fri Feb 07 17:19:19 UTC 2025","Formy Complete Web Form","sampleUI.spec.ts","",""
